dataset,instancia,cantidad_locales,limite_contagio,archivo
caso-promedio,PROMEDIO-34,34,139,instancias/caso-promedio/PROMEDIO-34.txt
caso-promedio,PROMEDIO-35,35,116,instancias/caso-promedio/PROMEDIO-35.txt
caso-promedio,PROMEDIO-36,36,176,instancias/caso-promedio/PROMEDIO-36.txt
caso-promedio,PROMEDIO-37,37,183,instancias/caso-promedio/PROMEDIO-37.txt
caso-promedio,PROMEDIO-38,38,130,instancias/caso-promedio/PROMEDIO-38.txt
caso-promedio,PROMEDIO-39,39,194,instancias/caso-promedio/PROMEDIO-39.txt
caso-promedio,PROMEDIO-40,40,196,instancias/caso-promedio/PROMEDIO-40.txt
caso-promedio,PROMEDIO-41,41,153,instancias/caso-promedio/PROMEDIO-41.txt
caso-promedio,PROMEDIO-42,42,122,instancias/caso-promedio/PROMEDIO-42.txt
caso-promedio,PROMEDIO-43,43,173,instancias/caso-promedio/PROMEDIO-43.txt
caso-promedio,PROMEDIO-44,44,130,instancias/caso-promedio/PROMEDIO-44.txt
caso-promedio,PROMEDIO-45,45,178,instancias/caso-promedio/PROMEDIO-45.txt
caso-promedio,PROMEDIO-46,46,134,instancias/caso-promedio/PROMEDIO-46.txt
caso-promedio,PROMEDIO-47,47,144,instancias/caso-promedio/PROMEDIO-47.txt
caso-promedio,PROMEDIO-48,48,175,instancias/caso-promedio/PROMEDIO-48.txt
caso-promedio,PROMEDIO-49,49,120,instancias/caso-promedio/PROMEDIO-49.txt
caso-promedio,PROMEDIO-50,50,155,instancias/caso-promedio/PROMEDIO-50.txt
caso-promedio,PROMEDIO-51,51,154,instancias/caso-promedio/PROMEDIO-51.txt
caso-promedio,PROMEDIO-52,52,143,instancias/caso-promedio/PROMEDIO-52.txt
caso-promedio,PROMEDIO-53,53,168,instancias/caso-promedio/PROMEDIO-53.txt
caso-promedio,PROMEDIO-54,54,119,instancias/caso-promedio/PROMEDIO-54.txt
caso-promedio,PROMEDIO-55,55,171,instancias/caso-promedio/PROMEDIO-55.txt
caso-promedio,PROMEDIO-56,56,140,instancias/caso-promedio/PROMEDIO-56.txt
caso-promedio,PROMEDIO-57,57,120,instancias/caso-promedio/PROMEDIO-57.txt
caso-promedio,PROMEDIO-58,58,152,instancias/caso-promedio/PROMEDIO-58.txt
caso-promedio,PROMEDIO-59,59,158,instancias/caso-promedio/PROMEDIO-59.txt
caso-promedio,PROMEDIO-60,60,121,instancias/caso-promedio/PROMEDIO-60.txt
caso-promedio,PROMEDIO-61,61,132,instancias/caso-promedio/PROMEDIO-61.txt
caso-promedio,PROMEDIO-62,62,117,instancias/caso-promedio/PROMEDIO-62.txt
caso-promedio,PROMEDIO-63,63,158,instancias/caso-promedio/PROMEDIO-63.txt
caso-promedio,PROMEDIO-64,64,171,instancias/caso-promedio/PROMEDIO-64.txt
caso-promedio,PROMEDIO-65,65,151,instancias/caso-promedio/PROMEDIO-65.txt
caso-promedio,PROMEDIO-66,66,171,instancias/caso-promedio/PROMEDIO-66.txt
caso-promedio,PROMEDIO-67,67,123,instancias/caso-promedio/PROMEDIO-67.txt
caso-promedio,PROMEDIO-68,68,185,instancias/caso-promedio/PROMEDIO-68.txt
caso-promedio,PROMEDIO-69,69,125,instancias/caso-promedio/PROMEDIO-69.txt
